"","Dolphin.ID","Birth.Date","Death.Date","Sex","total.num.sightings","gap","time","event","trunc.time","first.sight.date","last.sight.date"
"173",173,2006-04-25,2007-06-02,"Unknown",1,NA,1.10335386721424,1,0,2006-05-15,2006-05-15
"174",174,1999-11-01,2000-12-19,"Unknown",1,NA,1.13347022587269,1,0,2000-06-12,2000-06-12
"175",175,2007-01-18,2008-03-08,"Unknown",2,0.0164271047227926,1.13620807665982,1,0,2007-07-02,2007-07-08
"176",176,2006-11-01,2007-12-28,"Unknown",1,NA,1.15537303216975,1,0,2007-06-04,2007-06-04
"177",177,2018-11-01,NA,"Unknown",2,0.054757015742642,1.16632443531828,0,0,2019-06-12,2019-07-02
"178",178,2011-11-25,2013-02-01,"Unknown",7,0.522929500342231,1.18822724161533,1,0,2011-11-30,2012-10-20
"179",179,2014-11-01,2016-01-11,"Unknown",5,0.145106091718001,1.1937029431896,1,0,2015-04-27,2015-09-11
"180",180,2002-10-20,2003-12-30,"Unknown",7,0.668035592060233,1.1937029431896,1,0,2002-11-04,2003-10-21
"181",181,1995-11-01,1997-01-15,"Unknown",13,0.131416837782341,1.20739219712526,1,0,1996-06-24,1996-12-19
"182",182,2018-10-15,NA,"Unknown",0,NA,1.21286789869952,0,0,NA,NA
"183",183,2018-10-14,NA,"Female",26,0.542094455852156,1.21560574948665,0,0,2018-10-31,2019-12-07
"184",184,1987-11-20,1989-02-08,"Female",10,0.194387405886379,1.22108145106092,1,0,1988-05-13,1988-12-11
"185",185,1996-12-15,1998-03-17,"Unknown",5,0.503764544832307,1.25119780971937,1,0,1997-01-16,1998-01-26
"186",186,2000-10-01,2002-01-07,"Unknown",15,0.457221081451061,1.26762491444216,1,0,2000-10-20,2001-09-25
"187",187,2003-11-01,2005-02-13,"Unknown",1,NA,1.28678986995209,1,0,2004-09-19,2004-09-19
"188",188,2001-11-15,2003-03-08,"Unknown",2,0.769336071184121,1.30869267624914,1,0,2002-03-28,2003-01-03
"189",189,2006-01-01,2007-04-26,"Unknown",1,NA,1.31416837782341,1,0,2006-08-02,2006-08-02
"190",190,1994-01-01,1995-05-01,"Male",5,0.0876112251882272,1.32785763175907,1,0,1994-03-16,1994-05-10
"191",191,1995-11-01,1997-03-01,"Female",19,0.0739219712525667,1.3305954825462,1,0,1996-09-13,1997-02-11
"192",192,2014-01-01,2015-05-03,"Male",9,0.413415468856947,1.33333333333333,1,0,2014-07-05,2015-04-19
"193",193,1998-11-01,2000-03-05,"Unknown",18,0.199863107460643,1.34154688569473,1,0,1999-02-12,1999-11-04
"194",194,2009-10-01,2011-02-13,"Unknown",4,0.517453798767967,1.36892539356605,1,0,2009-11-04,2010-11-02
"195",195,2011-09-12,2013-01-28,"Unknown",6,0.635181382614648,1.37987679671458,1,0,2011-09-15,2012-10-10
"196",196,2009-10-26,2011-03-15,"Unknown",8,0.418891170431211,1.38261464750171,1,0,2009-11-02,2010-12-06
"197",197,2008-11-01,2010-03-21,"Unknown",0,NA,1.38261464750171,1,0,NA,NA
"198",198,2005-09-01,2007-01-21,"Unknown",4,0.0848733744010951,1.38809034907598,1,0,2006-05-13,2006-07-20
"199",199,2007-09-01,2009-01-28,"Unknown",1,NA,1.40999315537303,1,0,2008-08-24,2008-08-24
"200",200,1997-12-01,1999-05-01,"Unknown",7,0.0848733744010951,1.41273100616016,1,0,1998-05-16,1998-08-09
"201",201,2015-11-05,2017-04-13,"Unknown",12,0.440793976728268,1.43737166324435,1,0,2015-12-02,2016-10-22
"202",202,1988-12-20,1990-06-03,"Unknown",10,0.763860369609856,1.45106091718001,1,0,1989-02-20,1990-05-31
"203",203,2003-11-18,2005-05-13,"Unknown",20,0.520191649555099,1.4839151266256,1,0,2004-03-20,2005-03-29
"204",204,2001-11-01,2003-05-01,"Unknown",5,0.142368240930869,1.49486652977413,1,0,2002-05-20,2002-08-14
"205",205,2005-11-01,2007-05-01,"Unknown",1,NA,1.49486652977413,1,0,2006-05-15,2006-05-15
